id_gmina,nazwa
1305,Jabłonna Lacka
1306,Kosów Lacki
1307,Repki
1308,Sabnie
1309,Sokołów Podlaski
1310,Sokołów Podlaski
1311,Sterdyń
1312,Chlewiska
1313,Jastrząb
1314,Mirów
1315,Orońsko
1316,Szydłowiec
1317,Warszawa
1318,Błonie
1319,Izabelin
1320,Kampinos
1321,Leszno
1322,Łomianki
1323,Ożarów Mazowiecki
1324,Stare Babice
1325,Grębków
1326,Korytnica
1327,Liw
1328,Łochów
1329,Miedzna
1330,Sadowne
1331,Stoczek
1332,Węgrów
1333,Wierzbno
1334,Dąbrówka
1335,Jadów
1336,Klembów
1337,Kobyłka
1338,Marki
1339,Poświętne
1340,Radzymin
1341,Strachówka
1342,Tłuszcz
1343,Wołomin
1344,Ząbki
1345,Zielonka
1346,Brańszczyk
1347,Długosiodło
1348,Rząśnik
1349,Somianka
1350,Wyszków
1351,Zabrodzie
1352,Kazanów
1353,Policzna
1354,Przyłęk
1355,Tczów
1356,Zwoleń
1357,Bieżuń
1358,Kuczbork-Osada
1359,Lubowidz
1360,Lutocin
1361,Siemiątkowo
1362,Żuromin
1363,Mszczonów
1364,Puszcza Mariańska
1365,Radziejowice
1366,Wiskitki
1367,Żyrardów
1368,Brzeg
1369,Brzeg
1370,Grodków
1371,Grodków
1372,Lewin Brzeski
1373,Lewin Brzeski
1374,Lubsza
1375,Lubsza
1376,Olszanka
1377,Olszanka
1378,Skarbimierz
1379,Skarbimierz
1380,Baborów
1381,Branice
1382,Głubczyce
1383,Kietrz
1384,Bierawa
1385,Cisek
1386,Kędzierzyn-Koźle
1387,Pawłowiczki
1388,Polska Cerekiew
1389,Reńska Wieś
1390,Byczyna
1391,Kluczbork
1392,Lasowice Wielkie
1393,Wołczyn
1394,Gogolin
1395,Krapkowice
1396,Strzeleczki
1397,Walce
1398,Zdzieszowice
1399,Domaszowice
1400,Namysłów
1401,Pokój
1402,Świerczów
1403,Wilków
1404,Głuchołazy
1405,Kamiennik
1406,Korfantów
1407,Łambinowice
1408,Nysa
1409,Otmuchów
1410,Paczków
1411,Pakosławice
1412,Skoroszyce
1413,Dobrodzień
1414,Gorzów Śląski
1415,Olesno
1416,Praszka
1417,Radłów
1418,Rudniki
1419,Zębowice
1420,Opole
1421,Chrząstowice
1422,Chrząstowice
1423,Dąbrowa
1424,Dąbrowa
1425,Dobrzeń Wielki
1426,Dobrzeń Wielki
1427,Komprachcice
1428,Komprachcice
1429,Łubniany
1430,Łubniany
1431,Murów
1432,Murów
1433,Niemodlin
1434,Niemodlin
1435,Ozimek
1436,Ozimek
1437,Popielów
1438,Popielów
1439,Prószków
1440,Prószków
1441,Tarnów Opolski
1442,Tarnów Opolski
1443,Tułowice
1444,Tułowice
1445,Turawa
1446,Turawa
1447,Biała
1448,Głogówek
1449,Lubrza
1450,Prudnik
1451,Izbicko
1452,Jemielnica
1453,Kolonowskie
1454,Leśnica
1455,Strzelce Opolskie
1456,Ujazd
1457,Zawadzkie
1458,Baligród
1459,Cisna
1460,Czarna
1461,Lesko
1462,Lutowiska
1463,Olszanica
1464,Solina
1465,Ustrzyki Dolne
1466,Brzozów
1467,Domaradz
1468,Dydnia
1469,Haczów
1470,Jasienica Rosielna
1471,Nozdrzec
1472,Brzostek
1473,Czarna
1474,Dębica
1475,Dębica
1476,Jodłowa
1477,Pilzno
1478,Żyraków
1479,Chłopice
1480,Jarosław
1481,Jarosław
1482,Laszki
1483,Pawłosiów
